name,latitude,elevation,location,last_updated
STC BSF Indian Army Helipad,24.3267,16,Gangpimual,2010-12-29T19:12:44+00:00
PAP Complex Heliport,31.29208333,766,Jalandhar,2010-12-29T19:09:41+00:00
Kalyan airstrip,19.17921973,16,Kalyan,2010-12-28T14:02:23+00:00
Kanchrapara Airfield,22.92293299,16,Kanchrapara,2010-12-28T14:00:08+00:00
Catholic Medical Centre Helipad,24.8062,16,Kangla,2010-12-29T19:08:53+00:00
Kannur International Airport,11.918614,330,Kannur,2018-10-21T15:29:30+00:00
Khandwa Airport,21.85711746,16,Khandwa,2010-12-28T13:53:52+00:00
Kohima Helipad,25.66306667,16,Kohima,2010-12-29T19:14:22+00:00
Lebong Helipad,27.05908333,16,Lebong,2010-12-29T18:58:39+00:00
Maithon Heliport,23.785,529,Maithon,2016-05-20T12:01:00+00:00
Mathura Heliport,27.46423333,16,Mathura,2010-12-29T19:18:06+00:00
Kunjali Helipad,18.89527337,16,Mimbai,2010-04-25T19:18:17+00:00
Minicoy Helipad,8.273630142,16,Minicoy Island,2009-08-29T10:47:47+00:00
Shikra Naval Helibase,18.91334568,16,Mumbai,2010-04-25T19:13:14+00:00
Butcher Island Helipad,18.9623,16,Mumbai,2010-12-29T19:17:21+00:00
Mahalaxmi Race Course Helipad,18.98203333,16,Mumbai,2010-12-29T19:16:23+00:00
Raj Bhavan Helipad,18.94265,16,Mumbai,2010-12-29T19:16:50+00:00
HQ Eastern Air Command Helipad,25.53818333,16,Myliem,2010-12-29T19:10:56+00:00
Namchi Helipad,27.15673333,16,Nayabazar,2010-12-29T19:00:34+00:00
Muhammad Ali Khan,0.0,16,New Delhi,2019-04-28T06:04:05+00:00
Osmanabad Airport,18.281,2277,Osmanabad,2015-03-13T12:40:34+00:00
Pedong Helipad,27.15593333,16,Pedong,2010-12-29T18:58:01+00:00
Pelling Helipad,27.3005,16,Pelling City,2010-12-29T19:01:30+00:00
Phalodi Airfield,27.11283333,16,Phalodi,2013-02-19T03:17:06+00:00
Poonch Airport,33.76875,3219,Poonch,2014-05-24T10:27:33+00:00
Charra Airfield,23.36577729,16,Purulia,2010-12-28T13:56:20+00:00
Basanth Nagar Airport,18.701,670,Ramagundam,2016-01-12T23:24:11+00:00
Basanth Nagar Airport,18.701,670,Ramagundam,2015-03-10T00:26:53+00:00
Surichua Air Base,24.18824,280,Rampurhat,2016-05-20T11:31:55+00:00
Rasgovindpur Airstrip,21.80508952,16,Rasgovindpur,2010-12-28T14:03:32+00:00
Korba Airport,22.41416667,1200,Rumgara,2010-09-14T10:31:36+00:00
Saiha Helipad,22.48858333,16,Saiha,2012-08-18T18:08:22+00:00
Sevoke Road Indian Army Heliport,26.7744,472,Salugara,2010-12-29T19:02:17+00:00
